Customer_ID,Account_Age,Service_Usage,Billing_Info,Support_Interactions,Contract_Type,Age,Gender,Location,Income_Bracket,Transaction_Count,Payment_Frequency,Login_Frequency,NPS_Score,Churn_Flag
47,47,41.67,Monthly AutoPay,12,Yearly,57,Female,Mumbai,Medium,37,Yearly,29,13,1
48,62,53.04,Yearly Plan,1,Monthly,67,Male,Mumbai,Medium,38,Quarterly,19,72,0
49,51,94.77,Monthly AutoPay,10,Yearly,48,Female,Mumbai,High,42,Quarterly,5,88,0
50,108,59.92,Monthly AutoPay,4,Monthly,66,Female,Delhi,Low,21,Quarterly,27,49,1
51,55,66.13,Monthly AutoPay,12,Monthly,63,Male,Chennai,Low,20,Monthly,8,-72,0
52,116,7.33,Prepaid,8,Monthly,47,Female,Delhi,Low,11,Monthly,14,-47,1
53,64,17.43,Monthly AutoPay,13,Prepaid,67,Male,Bangalore,Low,41,Monthly,21,57,1
54,3,30.79,Yearly Plan,5,Yearly,27,Female,Bangalore,High,36,Quarterly,2,-65,0
55,101,54.4,Monthly AutoPay,13,Monthly,69,Male,Bangalore,High,8,Monthly,24,78,0
56,51,77.88,Yearly Plan,8,Yearly,38,Male,Bangalore,High,43,Quarterly,2,-45,0
57,7,32.8,Monthly AutoPay,5,Prepaid,67,Male,Delhi,Medium,29,Yearly,28,-55,0
58,21,36.28,Monthly AutoPay,8,Yearly,69,Male,Mumbai,Low,28,Quarterly,18,39,0
59,73,26.36,Prepaid,12,Yearly,40,Female,Chennai,Medium,9,Monthly,22,47,0
60,39,26.21,Monthly AutoPay,4,Yearly,54,Female,Hyderabad,High,34,Monthly,28,-75,0
61,18,94.94,Yearly Plan,10,Yearly,25,Male,Hyderabad,High,9,Monthly,26,77,1
62,4,63.91,Prepaid,11,Prepaid,27,Male,Bangalore,Medium,28,Quarterly,9,-76,0
63,89,16.43,Prepaid,0,Yearly,42,Female,Delhi,Medium,38,Quarterly,21,-79,0
64,60,72.5,Monthly AutoPay,5,Monthly,50,Female,Bangalore,Medium,39,Quarterly,18,63,0
65,14,72.48,Monthly AutoPay,3,Prepaid,34,Female,Delhi,Medium,4,Yearly,7,35,1
66,114,66.98,Manual Monthly,8,Yearly,68,Female,Mumbai,High,19,Monthly,11,-27,1
67,9,14.34,Monthly AutoPay,5,Yearly,41,Female,Chennai,Medium,38,Yearly,23,-77,0
68,90,41.39,Manual Monthly,14,Monthly,66,Female,Bangalore,Medium,33,Quarterly,21,-73,0
69,53,11.57,Yearly Plan,14,Prepaid,59,Male,Chennai,Medium,44,Yearly,5,-70,0
70,2,81.85,Monthly AutoPay,0,Prepaid,67,Female,Mumbai,Medium,25,Monthly,6,64,0
71,84,65.86,Monthly AutoPay,5,Monthly,47,Female,Hyderabad,Medium,28,Monthly,5,69,1
72,92,51.21,Manual Monthly,2,Yearly,18,Male,Bangalore,High,18,Quarterly,25,-73,0
73,111,34.96,Manual Monthly,2,Yearly,34,Female,Hyderabad,Medium,4,Monthly,21,64,0
74,60,19.24,Prepaid,6,Prepaid,45,Male,Chennai,High,36,Yearly,8,-36,0
75,71,11.54,Prepaid,1,Prepaid,30,Male,Chennai,High,8,Yearly,15,-1,0
76,44,96.95,Monthly AutoPay,8,Yearly,27,Female,Hyderabad,Low,14,Yearly,20,-65,0
77,8,20.77,Yearly Plan,8,Monthly,18,Female,Mumbai,Low,1,Monthly,25,16,0
78,47,6.93,Prepaid,6,Monthly,37,Male,Chennai,High,2,Monthly,15,39,1
79,35,96.21,Prepaid,8,Yearly,24,Male,Delhi,High,10,Monthly,12,-74,1
80,78,55.35,Prepaid,10,Monthly,49,Male,Chennai,High,13,Quarterly,22,38,0
81,81,79.87,Manual Monthly,5,Prepaid,38,Female,Chennai,Medium,7,Monthly,16,-2,0
82,36,5.33,Monthly AutoPay,8,Yearly,43,Male,Delhi,High,39,Quarterly,14,-48,0
83,50,57.13,Manual Monthly,9,Monthly,62,Male,Chennai,Low,21,Monthly,3,45,1
84,104,40.42,Yearly Plan,12,Monthly,24,Female,Mumbai,High,33,Quarterly,24,81,0
85,4,77.42,Manual Monthly,1,Prepaid,55,Female,Delhi,High,15,Monthly,8,86,0
86,2,4.8,Monthly AutoPay,13,Prepaid,62,Female,Chennai,Low,49,Yearly,10,-35,0
87,6,40.77,Manual Monthly,4,Yearly,57,Female,Delhi,Medium,22,Quarterly,1,-52,1
88,54,80.11,Yearly Plan,10,Prepaid,65,Male,Chennai,High,49,Yearly,8,-38,0
89,106,52.75,Monthly AutoPay,14,Prepaid,58,Female,Chennai,Low,28,Yearly,15,72,0
90,4,55.45,Monthly AutoPay,5,Yearly,62,Female,Bangalore,Medium,20,Monthly,19,16,0
91,54,10.62,Monthly AutoPay,11,Monthly,44,Female,Chennai,Medium,34,Yearly,14,-29,0
92,93,14.1,Monthly AutoPay,5,Prepaid,51,Male,Bangalore,Low,9,Quarterly,12,64,0
93,63,68.02,Yearly Plan,10,Yearly,29,Female,Chennai,Low,25,Quarterly,15,-88,1
94,18,67.83,Monthly AutoPay,3,Prepaid,29,Female,Mumbai,High,44,Monthly,16,-4,0
95,90,97.93,Yearly Plan,12,Prepaid,32,Male,Hyderabad,Low,19,Yearly,5,-55,0
96,44,71.48,Yearly Plan,3,Monthly,37,Male,Bangalore,Low,45,Monthly,1,95,0
97,34,49.83,Manual Monthly,4,Prepaid,27,Male,Hyderabad,Medium,10,Monthly,26,-12,0
98,74,85.88,Manual Monthly,5,Prepaid,63,Male,Hyderabad,Low,7,Yearly,21,-5,0
99,62,11.34,Monthly AutoPay,11,Prepaid,43,Male,Mumbai,Medium,12,Yearly,18,97,0
100,100,45.48,Prepaid,12,Monthly,34,Male,Mumbai,High,42,Quarterly,22,58,1
101,14,29.42,Prepaid,13,Prepaid,27,Female,Mumbai,Low,34,Yearly,22,35,0
102,95,11.36,Monthly AutoPay,7,Yearly,28,Male,Hyderabad,Low,1,Yearly,2,-13,0
103,48,76.59,Yearly Plan,11,Yearly,34,Male,Chennai,High,47,Quarterly,28,47,0
104,15,51.57,Manual Monthly,12,Monthly,28,Male,Delhi,Low,3,Quarterly,13,15,1
105,72,56.12,Monthly AutoPay,9,Monthly,32,Female,Mumbai,Low,34,Monthly,20,-10,1
106,78,41.71,Monthly AutoPay,0,Monthly,21,Male,Bangalore,Low,46,Monthly,7,-51,0
107,87,46.57,Yearly Plan,7,Prepaid,42,Female,Chennai,Low,33,Monthly,24,-22,1
108,62,12.49,Manual Monthly,1,Monthly,53,Male,Mumbai,Low,34,Yearly,16,-77,0
109,40,67.62,Prepaid,10,Yearly,64,Male,Mumbai,Low,14,Monthly,9,57,1
110,85,43.81,Prepaid,14,Yearly,48,Male,Mumbai,Medium,19,Yearly,17,37,0
111,80,81.86,Monthly AutoPay,6,Prepaid,63,Male,Delhi,Low,36,Quarterly,23,-22,1
112,109,20.43,Monthly AutoPay,3,Prepaid,46,Male,Chennai,Low,11,Monthly,27,98,1
113,82,21.3,Monthly AutoPay,14,Prepaid,48,Male,Mumbai,High,27,Quarterly,15,16,0
114,111,64.93,Monthly AutoPay,7,Prepaid,26,Male,Chennai,Low,5,Monthly,23,-63,0
115,53,84.75,Monthly AutoPay,5,Yearly,65,Female,Chennai,High,41,Yearly,12,-56,1
116,24,47.75,Prepaid,4,Yearly,18,Male,Hyderabad,High,42,Monthly,14,-62,1
117,26,72.97,Monthly AutoPay,9,Monthly,20,Male,Chennai,High,15,Yearly,16,-92,0
118,89,99.93,Manual Monthly,9,Prepaid,21,Female,Delhi,High,9,Quarterly,20,11,0
119,60,99.04,Yearly Plan,13,Yearly,36,Male,Delhi,Medium,6,Monthly,13,-47,1
120,109,74.69,Prepaid,4,Yearly,58,Male,Delhi,Medium,19,Quarterly,25,86,1
121,41,74.22,Yearly Plan,3,Monthly,39,Male,Delhi,Low,31,Monthly,3,42,0
122,29,25.51,Yearly Plan,13,Yearly,68,Male,Mumbai,High,34,Yearly,15,84,0
123,15,83.52,Monthly AutoPay,2,Yearly,25,Female,Chennai,Medium,38,Quarterly,25,-72,0
124,45,41.11,Yearly Plan,2,Prepaid,42,Male,Hyderabad,Medium,28,Yearly,6,-90,0
125,65,96.24,Manual Monthly,13,Monthly,21,Female,Mumbai,Medium,35,Yearly,20,97,1
126,89,9.06,Monthly AutoPay,2,Prepaid,62,Female,Bangalore,Low,8,Yearly,27,-75,1
127,71,44.15,Prepaid,6,Prepaid,68,Male,Mumbai,Low,29,Monthly,24,6,1
128,9,56.03,Manual Monthly,7,Monthly,31,Male,Mumbai,Medium,1,Monthly,18,35,0
129,88,41.11,Prepaid,12,Monthly,22,Female,Mumbai,Low,42,Monthly,24,-20,0
130,1,21.85,Monthly AutoPay,7,Prepaid,67,Female,Mumbai,High,19,Yearly,1,40,0
131,108,59.71,Monthly AutoPay,1,Prepaid,67,Male,Hyderabad,Low,5,Monthly,15,87,1
132,8,75.84,Prepaid,13,Prepaid,46,Female,Delhi,High,39,Quarterly,28,73,1
133,88,64.84,Yearly Plan,2,Prepaid,38,Male,Chennai,Low,3,Quarterly,12,2,0
134,63,24.21,Prepaid,1,Monthly,32,Male,Delhi,High,8,Yearly,19,50,1
135,11,73.43,Manual Monthly,5,Yearly,40,Female,Hyderabad,Low,41,Quarterly,12,-38,0
136,115,26.43,Yearly Plan,10,Monthly,34,Male,Hyderabad,Low,18,Monthly,3,-99,0
137,81,18.35,Monthly AutoPay,2,Yearly,20,Male,Mumbai,High,7,Quarterly,8,79,1
138,8,69.38,Manual Monthly,5,Monthly,50,Female,Mumbai,High,21,Quarterly,7,-15,0
139,35,84.44,Manual Monthly,3,Prepaid,67,Male,Chennai,High,38,Quarterly,27,-99,1
140,35,48.67,Monthly AutoPay,12,Yearly,44,Female,Mumbai,Medium,37,Monthly,13,73,0
141,33,53.61,Yearly Plan,11,Monthly,33,Male,Chennai,Low,26,Monthly,16,35,1
142,5,30.97,Monthly AutoPay,14,Monthly,23,Male,Hyderabad,Low,34,Yearly,17,-57,1
143,106,49.97,Manual Monthly,9,Monthly,58,Female,Chennai,Medium,23,Monthly,3,0,0
144,103,14.07,Manual Monthly,14,Prepaid,27,Female,Chennai,Low,21,Quarterly,28,-51,0
145,41,95.63,Manual Monthly,9,Monthly,46,Female,Bangalore,High,33,Yearly,2,84,0
146,28,80.24,Monthly AutoPay,5,Monthly,34,Female,Mumbai,High,20,Yearly,29,7,0
147,7,67.13,Prepaid,12,Prepaid,56,Female,Delhi,Medium,22,Yearly,22,-99,0
148,73,54.28,Manual Monthly,2,Yearly,63,Female,Bangalore,Low,24,Monthly,8,-4,0
149,72,79.42,Manual Monthly,4,Yearly,31,Female,Bangalore,Low,37,Quarterly,27,-89,0
150,12,49.98,Yearly Plan,7,Prepaid,29,Male,Bangalore,Medium,3,Yearly,1,-16,0
151,34,30.7,Prepaid,2,Yearly,55,Male,Delhi,High,2,Monthly,23,-64,0
152,33,16.88,Yearly Plan,8,Monthly,46,Female,Delhi,High,30,Quarterly,7,52,1
153,48,65.11,Manual Monthly,14,Monthly,31,Female,Bangalore,Low,34,Yearly,7,-56,1
154,119,93.01,Prepaid,8,Yearly,25,Female,Hyderabad,High,3,Yearly,29,94,0
155,23,16.21,Yearly Plan,12,Yearly,66,Male,Bangalore,Low,3,Monthly,3,28,1
156,62,18.82,Monthly AutoPay,6,Yearly,57,Male,Chennai,High,19,Monthly,2,-14,1
157,88,43.93,Yearly Plan,7,Prepaid,57,Male,Chennai,High,13,Monthly,29,16,1
158,37,80.88,Prepaid,8,Yearly,34,Female,Delhi,Low,8,Quarterly,17,62,1
159,99,30.1,Yearly Plan,0,Prepaid,60,Male,Chennai,Low,25,Quarterly,15,-50,1
160,44,26.14,Prepaid,14,Yearly,56,Female,Mumbai,High,22,Monthly,18,78,0
161,104,62.38,Prepaid,6,Prepaid,40,Male,Mumbai,Low,20,Yearly,20,-70,0
162,86,54.03,Yearly Plan,9,Prepaid,24,Female,Bangalore,High,27,Yearly,10,-60,1
163,91,6.96,Yearly Plan,2,Monthly,29,Female,Mumbai,Low,3,Monthly,4,-43,0
164,35,9.07,Monthly AutoPay,5,Yearly,33,Female,Mumbai,Medium,49,Quarterly,25,-87,0
165,65,64.66,Yearly Plan,8,Monthly,30,Male,Bangalore,Low,19,Monthly,22,36,0
166,99,47.05,Prepaid,11,Monthly,64,Female,Mumbai,High,13,Yearly,8,21,1
167,101,97.13,Manual Monthly,14,Prepaid,36,Male,Hyderabad,High,43,Yearly,3,49,1
168,47,68.17,Yearly Plan,9,Prepaid,20,Male,Mumbai,High,1,Quarterly,6,-90,1
169,78,2.0,Yearly Plan,10,Prepaid,60,Male,Delhi,Medium,1,Yearly,2,-10,1
170,3,48.62,Prepaid,7,Prepaid,25,Male,Hyderabad,High,27,Yearly,8,84,0
171,1,42.03,Manual Monthly,1,Monthly,57,Female,Bangalore,Low,22,Quarterly,17,-29,1
172,5,11.56,Monthly AutoPay,3,Prepaid,29,Female,Bangalore,Low,25,Monthly,10,-68,1
173,90,92.4,Manual Monthly,13,Monthly,48,Female,Hyderabad,High,42,Quarterly,19,5,1
174,119,80.7,Prepaid,10,Monthly,52,Male,Bangalore,Low,22,Monthly,13,-8,1
175,14,23.78,Prepaid,4,Yearly,37,Female,Delhi,High,10,Quarterly,10,-77,0
176,103,26.34,Prepaid,12,Yearly,45,Male,Chennai,Medium,20,Yearly,6,61,0
177,27,4.17,Prepaid,9,Prepaid,19,Female,Chennai,High,11,Quarterly,27,-44,0
178,9,30.38,Manual Monthly,5,Monthly,44,Male,Bangalore,Medium,13,Yearly,22,83,0
179,79,58.88,Manual Monthly,12,Monthly,20,Male,Delhi,High,34,Quarterly,7,-49,1
180,15,42.66,Manual Monthly,6,Monthly,65,Female,Bangalore,Medium,27,Quarterly,14,-31,0
181,90,96.96,Yearly Plan,10,Yearly,38,Male,Chennai,Medium,7,Monthly,3,-33,0
182,42,6.55,Prepaid,3,Monthly,68,Female,Delhi,Medium,26,Yearly,8,9,0
183,77,59.55,Yearly Plan,3,Monthly,69,Female,Bangalore,Low,17,Yearly,7,85,0
184,51,85.97,Yearly Plan,4,Monthly,24,Female,Mumbai,Low,45,Monthly,22,9,0
185,63,48.59,Yearly Plan,8,Yearly,68,Male,Chennai,Low,49,Quarterly,8,-30,1
186,96,1.29,Monthly AutoPay,8,Prepaid,50,Female,Chennai,Medium,21,Monthly,5,-4,0
187,103,25.04,Yearly Plan,13,Prepaid,62,Female,Delhi,Low,37,Monthly,10,31,0
188,113,33.05,Prepaid,0,Prepaid,63,Male,Mumbai,Low,16,Quarterly,10,56,1
189,52,96.63,Yearly Plan,12,Yearly,50,Female,Mumbai,Low,25,Monthly,6,21,0
190,96,91.27,Prepaid,4,Yearly,53,Male,Hyderabad,Low,25,Quarterly,22,63,0
191,4,94.97,Monthly AutoPay,4,Prepaid,34,Male,Chennai,High,30,Yearly,19,-23,0
192,94,82.75,Manual Monthly,6,Prepaid,23,Male,Hyderabad,Medium,42,Quarterly,16,74,1
193,101,35.81,Prepaid,7,Yearly,69,Male,Mumbai,High,48,Yearly,18,-78,0
194,23,90.68,Yearly Plan,2,Prepaid,38,Male,Delhi,Medium,38,Yearly,13,-19,0
195,103,98.19,Prepaid,0,Monthly,55,Male,Bangalore,High,46,Yearly,7,28,0
196,109,35.66,Yearly Plan,1,Yearly,51,Female,Bangalore,Low,16,Yearly,10,-27,0
197,15,26.8,Manual Monthly,5,Prepaid,66,Female,Chennai,Low,16,Monthly,6,13,0
198,43,55.14,Prepaid,10,Prepaid,65,Male,Mumbai,High,28,Monthly,2,-63,1
199,29,19.53,Yearly Plan,13,Yearly,29,Male,Hyderabad,High,27,Monthly,16,-6,1
200,36,4.23,Prepaid,5,Yearly,29,Male,Delhi,Low,3,Yearly,4,-92,0
201,13,94.64,Manual Monthly,10,Monthly,35,Male,Bangalore,Low,4,Yearly,3,-87,0
202,32,92.65,Manual Monthly,12,Yearly,65,Female,Bangalore,High,32,Yearly,3,32,1
203,71,17.1,Manual Monthly,4,Yearly,23,Female,Bangalore,Medium,15,Quarterly,8,47,0
204,59,41.37,Prepaid,10,Monthly,30,Female,Hyderabad,High,5,Quarterly,12,71,0
205,115,83.27,Prepaid,4,Prepaid,48,Male,Chennai,High,47,Monthly,2,59,0
206,86,66.44,Yearly Plan,8,Yearly,42,Female,Chennai,High,42,Yearly,14,-85,0
207,28,40.08,Manual Monthly,10,Prepaid,65,Female,Delhi,High,19,Quarterly,23,54,1
208,66,74.67,Yearly Plan,14,Monthly,41,Female,Hyderabad,High,20,Yearly,18,-80,0
209,42,89.81,Prepaid,6,Yearly,59,Female,Chennai,Low,19,Yearly,7,-68,0
210,45,92.69,Monthly AutoPay,5,Monthly,28,Female,Mumbai,High,47,Monthly,13,52,1
211,62,38.51,Manual Monthly,14,Prepaid,50,Male,Hyderabad,Low,12,Yearly,9,-59,0
212,57,18.18,Yearly Plan,10,Monthly,38,Female,Bangalore,Low,23,Yearly,15,-17,0
213,117,91.37,Manual Monthly,6,Yearly,56,Female,Bangalore,High,5,Monthly,9,-98,0
214,6,10.16,Yearly Plan,2,Yearly,41,Male,Hyderabad,High,31,Monthly,11,-94,0
215,28,72.45,Yearly Plan,12,Prepaid,66,Male,Hyderabad,High,11,Yearly,4,33,0
216,28,14.91,Monthly AutoPay,6,Prepaid,61,Female,Hyderabad,Medium,36,Monthly,5,-91,0
217,108,39.55,Prepaid,2,Prepaid,69,Male,Bangalore,Medium,22,Yearly,8,24,0
218,44,41.74,Manual Monthly,7,Prepaid,37,Female,Delhi,Low,41,Yearly,10,-38,0
219,84,16.72,Prepaid,9,Yearly,64,Female,Chennai,High,47,Monthly,23,44,1
220,30,92.35,Yearly Plan,9,Yearly,26,Female,Hyderabad,Low,14,Quarterly,20,50,1
221,62,1.26,Prepaid,8,Yearly,48,Male,Chennai,High,15,Yearly,29,-73,0
222,75,89.49,Monthly AutoPay,2,Monthly,45,Male,Mumbai,High,6,Yearly,18,31,0
223,119,88.5,Prepaid,6,Monthly,55,Male,Chennai,High,14,Quarterly,18,-69,0
224,92,32.38,Yearly Plan,7,Prepaid,22,Male,Chennai,Low,32,Yearly,22,-45,0
225,89,70.72,Yearly Plan,2,Prepaid,54,Female,Mumbai,Medium,45,Quarterly,25,28,0
226,103,26.03,Monthly AutoPay,5,Prepaid,58,Male,Mumbai,Low,35,Quarterly,18,32,1
227,62,76.12,Manual Monthly,12,Yearly,51,Male,Hyderabad,Low,6,Quarterly,11,27,1
228,97,56.55,Monthly AutoPay,13,Monthly,27,Female,Mumbai,Medium,6,Quarterly,21,-55,1
229,1,30.72,Manual Monthly,6,Prepaid,49,Female,Mumbai,High,38,Monthly,19,-100,0
230,27,40.62,Yearly Plan,3,Prepaid,54,Female,Bangalore,Low,37,Yearly,20,97,0
231,62,69.3,Prepaid,5,Yearly,34,Male,Chennai,High,48,Monthly,12,21,0
232,116,90.7,Yearly Plan,6,Monthly,53,Male,Delhi,High,6,Monthly,18,95,1
233,77,13.94,Monthly AutoPay,11,Prepaid,53,Female,Chennai,Medium,17,Quarterly,29,38,0
234,105,57.57,Monthly AutoPay,6,Prepaid,30,Male,Delhi,Low,1,Yearly,6,87,0
235,3,26.12,Prepaid,10,Prepaid,37,Female,Mumbai,Medium,15,Monthly,18,65,1
236,103,80.34,Monthly AutoPay,0,Prepaid,68,Male,Bangalore,Low,39,Yearly,3,-73,0
237,70,7.95,Yearly Plan,1,Monthly,55,Female,Chennai,Medium,35,Yearly,16,-31,1
238,72,69.21,Prepaid,10,Monthly,36,Male,Chennai,High,19,Quarterly,9,45,1
239,27,18.32,Manual Monthly,10,Prepaid,39,Female,Delhi,Medium,35,Quarterly,27,68,0
240,9,60.04,Monthly AutoPay,0,Yearly,33,Female,Hyderabad,High,26,Quarterly,6,78,0
241,62,83.73,Manual Monthly,8,Prepaid,23,Female,Chennai,Low,37,Quarterly,13,15,0
242,37,75.75,Prepaid,11,Yearly,28,Female,Mumbai,Low,1,Yearly,27,75,0
243,97,75.54,Monthly AutoPay,6,Prepaid,27,Male,Delhi,Medium,26,Quarterly,10,53,1
244,51,52.27,Prepaid,10,Prepaid,48,Female,Chennai,Medium,40,Quarterly,6,32,0
245,106,89.18,Monthly AutoPay,6,Yearly,35,Male,Hyderabad,High,34,Monthly,17,-36,0
246,44,59.22,Monthly AutoPay,2,Prepaid,49,Male,Chennai,Low,38,Yearly,5,-50,0
247,24,91.83,Monthly AutoPay,4,Monthly,58,Female,Delhi,High,41,Monthly,7,16,1
248,79,55.11,Prepaid,1,Yearly,59,Male,Hyderabad,Medium,13,Yearly,11,-31,0
249,59,51.09,Prepaid,4,Monthly,64,Male,Bangalore,Medium,7,Yearly,21,97,1
250,118,23.01,Yearly Plan,7,Yearly,41,Female,Chennai,Medium,1,Monthly,25,-30,0
251,32,54.93,Yearly Plan,12,Monthly,63,Male,Hyderabad,Medium,33,Quarterly,26,88,0
252,96,14.92,Prepaid,9,Prepaid,33,Male,Mumbai,Low,34,Quarterly,12,-31,0
253,88,87.1,Prepaid,2,Prepaid,46,Male,Delhi,High,15,Yearly,15,37,0
254,105,67.91,Monthly AutoPay,3,Yearly,56,Male,Hyderabad,Low,2,Quarterly,9,91,0
255,52,99.37,Yearly Plan,7,Monthly,42,Female,Delhi,Low,7,Yearly,2,-58,0
256,113,10.12,Yearly Plan,14,Prepaid,57,Female,Bangalore,Low,46,Monthly,24,-5,0
257,62,24.83,Prepaid,1,Monthly,42,Male,Delhi,Medium,26,Quarterly,9,-81,0
258,113,87.84,Yearly Plan,0,Monthly,57,Male,Bangalore,Medium,39,Quarterly,20,94,0
259,58,40.13,Prepaid,2,Yearly,62,Male,Chennai,High,25,Yearly,28,-88,0
260,52,47.16,Yearly Plan,1,Prepaid,36,Male,Chennai,Low,10,Monthly,16,-20,0
261,12,86.2,Manual Monthly,9,Yearly,27,Female,Chennai,Medium,10,Quarterly,29,-55,0
262,39,52.66,Manual Monthly,13,Yearly,18,Male,Mumbai,Low,10,Quarterly,2,24,0
263,2,20.15,Yearly Plan,14,Prepaid,44,Female,Chennai,Low,38,Quarterly,25,-11,0
264,3,89.31,Prepaid,1,Monthly,39,Male,Mumbai,Low,28,Monthly,20,-59,0
265,113,4.08,Manual Monthly,3,Yearly,45,Female,Mumbai,Medium,30,Monthly,2,-80,1
266,101,89.64,Monthly AutoPay,12,Prepaid,65,Male,Bangalore,Low,48,Yearly,20,-50,0
267,113,6.0,Prepaid,12,Monthly,52,Female,Chennai,High,35,Quarterly,6,-32,0
268,56,66.92,Manual Monthly,5,Monthly,20,Female,Mumbai,Medium,27,Yearly,5,-59,0
269,81,8.1,Monthly AutoPay,9,Monthly,55,Male,Delhi,High,8,Yearly,11,-56,0
270,59,70.92,Manual Monthly,9,Yearly,43,Female,Bangalore,Medium,9,Quarterly,6,-6,0
271,113,4.36,Manual Monthly,4,Yearly,61,Male,Chennai,Low,10,Monthly,26,-38,1
